name,description,areas,author,collection,code,rawFileDir,convFileDir
Handout,,Handout,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 373, 'name': 'Workshop ""Einstieg in die Literaturrecherche mit TUfind""'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/25/59/9d/60/95/25/11/ea/b5/b0/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/25/59/9d/60/95/25/11/ea/b5/b0/00/50/56/bd/73/ad
Powerpointpräsentation,,Powerpointpräsentation,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 373, 'name': 'Workshop ""Einstieg in die Literaturrecherche mit TUfind""'}]",by,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/65/24/7c/80/95/25/11/ea/b2/de/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/65/24/7c/80/95/25/11/ea/b2/de/00/50/56/bd/73/ad
Übungsblatt TUfind,"Übungsaufgaben für den Workshop ""Einstieg in die Literaturrecherche mit TUfind""",Übungsblatt TUfind,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 373, 'name': 'Workshop ""Einstieg in die Literaturrecherche mit TUfind""'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/ca/3d/57/40/4e/19/11/ed/97/e0/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/ca/3d/57/40/4e/19/11/ed/97/e0/00/50/56/bd/73/ad
Übungsaufgaben,,Übungsaufgaben,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 350, 'name': 'Workshop ""Einstieg in die Literaturverwaltung mit Citavi""'}]",by,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/33/6d/84/a0/95/27/11/ea/83/fe/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/33/6d/84/a0/95/27/11/ea/83/fe/00/50/56/bd/73/ad
Powerpointpräsentation,,Powerpointpräsentation,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 350, 'name': 'Workshop ""Einstieg in die Literaturverwaltung mit Citavi""'}]",by,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/a3/c7/75/c0/fa/4b/11/e9/aa/d2/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/a3/c7/75/c0/fa/4b/11/e9/aa/d2/00/50/56/bd/73/ae
Powerpointpräsentation,,Powerpointpräsentation,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 295, 'name': 'Workshop ""Einstieg in wissenschaftliches Zitieren""'}]",by,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/75/f5/88/00/59/19/11/e8/90/1d/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/75/f5/88/00/59/19/11/e8/90/1d/00/50/56/bd/73/ad
Übungsaufgaben,,Übungsaufgaben,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 295, 'name': 'Workshop ""Einstieg in wissenschaftliches Zitieren""'}]",by,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/ed/33/b2/00/95/28/11/ea/b0/89/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/ed/33/b2/00/95/28/11/ea/b0/89/00/50/56/bd/73/ad
Handout,,Handout,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 295, 'name': 'Workshop ""Einstieg in wissenschaftliches Zitieren""'}]",by,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/fb/2a/fb/70/95/28/11/ea/90/4f/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/fb/2a/fb/70/95/28/11/ea/90/4f/00/50/56/bd/73/ad
Übungsaufgaben,,Übungsaufgaben,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 364, 'name': 'Workshop ""Fortgeschrittene Literaturrecherche mit Datenbanken""'}]",by,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/2e/a8/24/70/95/13/11/ea/87/34/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/2e/a8/24/70/95/13/11/ea/87/34/00/50/56/bd/73/ad
Powerpointpräsentation,,Powerpointpräsentation,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 364, 'name': 'Workshop ""Fortgeschrittene Literaturrecherche mit Datenbanken""'}]",by,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/0a/c7/00/80/69/c1/11/ea/a4/02/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/0a/c7/00/80/69/c1/11/ea/a4/02/00/50/56/bd/73/ae
Handout,,Handout,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 364, 'name': 'Workshop ""Fortgeschrittene Literaturrecherche mit Datenbanken""'}]",by,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/9d/6a/7b/60/95/13/11/ea/99/4b/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/9d/6a/7b/60/95/13/11/ea/99/4b/00/50/56/bd/73/ad
Präsentation,,Präsentation,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 306, 'name': 'Workshop ""Einstieg in die Literaturverwaltung mit Zotero""'}]",by,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/38/d6/65/d0/97/0c/11/ed/b8/a3/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/38/d6/65/d0/97/0c/11/ed/b8/a3/00/50/56/bd/73/ae
Handout Zotero,,Handout Zotero,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 306, 'name': 'Workshop ""Einstieg in die Literaturverwaltung mit Zotero""'}]",by,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/50/98/73/e0/53/9e/11/ed/8f/17/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/50/98/73/e0/53/9e/11/ed/8f/17/00/50/56/bd/73/ae
Übungsaufgaben,,Übungsaufgaben,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 306, 'name': 'Workshop ""Einstieg in die Literaturverwaltung mit Zotero""'}]",by,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/8a/a2/1b/80/95/0b/11/ea/ba/5f/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/8a/a2/1b/80/95/0b/11/ea/ba/5f/00/50/56/bd/73/ae
Präsentation,,Präsentation,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 371, 'name': 'Workshop ""Einstieg in wissenschaftliches Arbeiten mit Word""'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/07/87/85/10/a0/b8/11/ea/80/6c/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/07/87/85/10/a0/b8/11/ea/80/6c/00/50/56/bd/73/ad
Übungsaufgaben (PDF),,Übungsaufgaben (PDF),"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 371, 'name': 'Workshop ""Einstieg in wissenschaftliches Arbeiten mit Word""'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/3e/44/1f/a0/a0/b8/11/ea/93/6e/00/50/56/bd/73/ad,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/3e/44/1f/a0/a0/b8/11/ea/93/6e/00/50/56/bd/73/ad
Handout,,Handout,"[{'id': 284, 'firstName': 'Universitäts- und', 'lastName': 'Landesbibliothek Darmstadt', 'title': '', 'photoAvailable': True}]","[{'id': 371, 'name': 'Workshop ""Einstieg in wissenschaftliches Arbeiten mit Word""'}]",by-sa,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/eb/0f/e7/30/84/8b/11/ea/b1/53/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/eb/0f/e7/30/84/8b/11/ea/b1/53/00/50/56/bd/73/ae
Lecture 4 Philosophy of Science and Research in the Humanities,,Lecture 4 Philosophy of Science and Research in the Humanities,"[{'id': 61, 'firstName': 'Petra', 'lastName': 'Gehring', 'title': 'Prof. Dr.', 'photoAvailable': True}]","[{'id': 347, 'name': 'Philosophy of Science and Research in the Humanities'}]",by-nc-nd,https://olw-material.hrz.tu-darmstadt.de/olw-roh-repository/archive/2e/66/46/20/5e/cb/11/ed/bc/a5/00/50/56/bd/73/ae,https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/2e/66/46/20/5e/cb/11/ed/bc/a5/00/50/56/bd/73/ae
